Name,Url,Rating,Tag,Description
Doing Business in China,https://www.coursera.org//specializations/doing-business-in-china,,"['Business', 'Business Strategy']","Offered by The Chinese University of Hong Kong. Interested in Doing Business in China?. Master essential knowledge, strategies and tools to ... Enroll for free."
Chinese Culture and Contemporary China ,https://www.coursera.org//learn/china-culture-contemporary,4.6,"['Arts and Humanities', 'History']",Offered by Nanjing University. This course of Chinese Culture and Contemporary China will explore the foundations of Chinese civilization ... Enroll for free.
Social Science Approaches to the Study of Chinese Society Part 1,https://www.coursera.org//learn/social-science-study-chinese-society,4.6,"['Social Sciences', 'Education']",Offered by The Hong Kong University of Science and Technology. This course seeks to turn learners into informed consumers of social science ... Enroll for free.
Chinese for Beginners,https://www.coursera.org//learn/learn-chinese,4.8,"['Language Learning', 'Other Languages']","Offered by Peking University. Nowadays, there is an increasing number of people who are interested in Chinese culture and language. And it ... Enroll for free."
Chinese Politics Part 1 â China and Political Science,https://www.coursera.org//learn/chinesepolitics1,4.8,"['Social Sciences', 'Governance and Society']",Offered by The Hong Kong University of Science and Technology. This course offers a conceptual framework for understanding China that ... Enroll for free.
"Understanding China, 1700-2000: A Data Analytic Approach, Part 1",https://www.coursera.org//learn/understanding-china-history-part-1,4.7,"['Data Science', 'Data Analysis']",Offered by The Hong Kong University of Science and Technology. The purpose of this course is to summarize new directions in Chinese history ... Enroll for free.
Chinese for HSK 1,https://www.coursera.org//learn/hsk-1,4.9,"['Language Learning', 'Other Languages']",Offered by Peking University. NÇ hÇo! ä½ å¥½ï¼Welcome to Chinese for HSK Level 1 - a Chinese course for beginners. My name is YU Bin. I am very ... Enroll for free.
Chinese Politics Part 2 â China and the World,https://www.coursera.org//learn/chinese-politics-2,4.7,"['Social Sciences', 'Governance and Society']",Offered by The Hong Kong University of Science and Technology. One of the most significant changes in the world in the past 30 years is the ... Enroll for free.
"Understanding China, 1700-2000: A Data Analytic Approach, Part 2",https://www.coursera.org//learn/understanding-china-history-part-2,4.5,"['Data Science', 'Data Analysis']",Offered by The Hong Kong University of Science and Technology. The purpose of this course is to summarize new directions in Chinese history ... Enroll for free.
Doing Business in China Capstone,https://www.coursera.org//learn/doing-business-in-china-capstone,4.7,"['Business', 'Business Strategy']",Offered by The Chinese University of Hong Kong. Doing Business in China Capstone enables you to apply your skills to real business ... Enroll for free.
